Handle,Command,Focus Category,Priority,Original Title,Original Type,Original Tags,Original SEO Title,Original SEO Description,Variant SKU,Variant Price,Image Src,Recommended Title,Recommended SEO Title,Recommended SEO Description,Recommended Product Type,Recommended Tags,Recommended Image Alt Text,Collection Candidates,Listing Recommendation,Compliance Notes
lavender-crystal-beaded-bracelet,UPDATE,Crystal Bracelet,High,薰衣草紫晶手链,Bracelet,"Crystal Bracelet, Purple Bracelet, Beaded Bracelet",,,CB-LAV-001,89,https://example.com/commercial/lavender-crystal-bracelet.jpg,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,Lavender Crystal Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Lavender Crystal Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
obsidian-glow-purple-crystal-bracelet,UPDATE,Crystal Bracelet,High,黑曜紫光水晶手链,Bracelet,"Crystal Bracelet, Purple Bracelet, Stackable Bracelet",,,CB-OBS-002,118,https://example.com/commercial/obsidian-glow-bracelet.jpg,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,Obsidian Glow Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Obsidian Glow Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
soft-lilac-beaded-bracelet,UPDATE,Crystal Bracelet,High,柔雾丁香紫串珠手链,Bracelet,"Beaded Bracelet, Purple Bracelet, Everyday Jewelry",,,CB-LIL-003,95,https://example.com/commercial/soft-lilac-bracelet.jpg,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,Soft Lilac Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Soft Lilac Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
moonlit-violet-crystal-bracelet,UPDATE,Crystal Bracelet,High,月影紫水晶串珠手链,Bracelet,"Crystal Bracelet, Beaded Bracelet, Purple Bracelet",,,CB-MOON-004,138,https://example.com/commercial/moonlit-violet-bracelet.jpg,Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet,Moonlit Violet Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Moonlit Violet Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
violet-beaded-bracelet,UPDATE,Crystal Bracelet,High,紫晶串珠手链,Bracelet,"Amethyst Bracelet, Purple Bracelet, Gift For Her",,,CB-VIO-005,76,https://example.com/commercial/violet-beaded-bracelet.jpg,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,Violet Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Violet Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
purple-crystal-stackable-bracelet,UPDATE,Crystal Bracelet,High,Purple Crystal Bracelet Stack,Bracelet,"Crystal Bracelet, Purple Bracelet, Stackable Bracelet",,,CB-STK-006,129,https://example.com/commercial/purple-crystal-stack.jpg,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,Violet Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Violet Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Optimize for Commercial SEO / Google Merchant Review,OK
african-green-quartzite-beaded-bracelet,UPDATE,African Green Quartzite,High,非洲翠手串,Bracelet,"African Green Quartzite, Green Stone Jewelry, Beaded Bracelet",,,AGQ-BR-001,128,https://example.com/commercial/african-green-quartzite-bracelet.jpg,African Green Quartzite Beaded Bracelet | Natural Green Stone Jewelry,African Green Quartzite Beaded Bracelet - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, designed for everyday outfits, gifting, and polished minimal styling.",Bracelet,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Beaded Bracelet",African Green Quartzite Beaded Bracelet by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Green Stone Bracelets, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
african-green-quartzite-peace-buckle-pendant,UPDATE,African Green Quartzite,Medium,非洲翠平安扣吊坠,Necklace,"African Green Quartzite, Pendant Necklace, Green Stone Jewelry",,,AGQ-PB-002,218,https://example.com/commercial/african-green-quartzite-peace-buckle.jpg,African Green Quartzite Peace Buckle Pendant | Natural Green Stone Necklace,African Green Quartzite Peace Buckle Pendant - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, designed for everyday outfits, gifting, and polished minimal styling.",Apparel & Accessories > Jewelry > Necklaces,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Pendant Necklace",African Green Quartzite Peace Buckle Pendant by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Natural Stone Pendants, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
african-green-quartzite-drop-earrings,UPDATE,African Green Quartzite,Medium,非洲翠耳坠,Earrings,"African Green Quartzite, Earrings, Green Stone Jewelry",,,AGQ-ER-003,168,https://example.com/commercial/african-green-quartzite-earrings.jpg,African Green Quartzite Drop Earrings | Natural Green Stone Jewelry,African Green Quartzite Drop Earrings - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, designed for everyday outfits, gifting, and polished minimal styling.",Earrings,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Earrings",African Green Quartzite Drop Earrings by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
african-green-quartzite-ring,UPDATE,African Green Quartzite,Medium,非洲翠戒圈,Ring,"African Green Quartzite, Ring, Minimal Jewelry",,,AGQ-RG-004,98,https://example.com/commercial/african-green-quartzite-ring.jpg,African Green Quartzite Ring | Minimal Green Stone Jewelry,African Green Quartzite Ring - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, designed for everyday outfits, gifting, and polished minimal styling.",Ring,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Ring",African Green Quartzite Ring by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
african-green-quartzite-hulu-pendant,UPDATE,African Green Quartzite,Medium,非洲翠葫芦吊坠,Necklace,"African Green Quartzite, Pendant Necklace, Natural Green Stone",,,AGQ-HU-005,188,https://example.com/commercial/african-green-quartzite-hulu.jpg,African Green Quartzite Hulu Pendant | Natural Green Stone Necklace,African Green Quartzite Hulu Pendant - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, designed for everyday outfits, gifting, and polished minimal styling.",Apparel & Accessories > Jewelry > Necklaces,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Pendant Necklace",African Green Quartzite Hulu Pendant by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Natural Stone Pendants, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
green-quartzite-bar-pendant,UPDATE,African Green Quartzite,Medium,Green Quartzite Bar Pendant,Necklace,"African Green Quartzite, Green Quartzite, Pendant Necklace",,,AGQ-BAR-006,156,https://example.com/commercial/green-quartzite-bar-pendant.jpg,African Green Quartzite Pendant | Natural Green Stone Necklace,African Green Quartzite Pendant - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, designed for everyday outfits, gifting, and polished minimal styling.",Apparel & Accessories > Jewelry > Necklaces,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Pendant Necklace",African Green Quartzite Pendant by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Natural Stone Pendants, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,OK
african-green-quartzite-round-bead-bracelet,UPDATE,African Green Quartzite,High,African Green Quartzite Round Bead Bracelet,Bracelet,"African Green Quartzite, Beaded Bracelet, Green Stone Jewelry",,,AGQ-RB-007,142,https://example.com/commercial/green-quartzite-round-bead-bracelet.jpg,African Green Quartzite Beaded Bracelet | Natural Green Stone Jewelry,African Green Quartzite Beaded Bracelet - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, designed for everyday outfits, gifting, and polished minimal styling.",Bracelet,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Beaded Bracelet",African Green Quartzite Beaded Bracelet by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Green Stone Bracelets, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,OK
natural-green-stone-stud-earrings,UPDATE,African Green Quartzite,Medium,Natural Green Stone Stud Earrings,Earrings,"Natural Green Stone, Green Quartzite Jewelry, Earrings",,,AGQ-STUD-008,72,https://example.com/commercial/natural-green-stone-studs.jpg,African Green Quartzite Drop Earrings | Natural Green Stone Jewelry,African Green Quartzite Drop Earrings - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, designed for everyday outfits, gifting, and polished minimal styling.",Earrings,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Earrings",African Green Quartzite Drop Earrings by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,OK
green-quartzite-donut-pendant,UPDATE,African Green Quartzite,Medium,石英质玉圆环吊坠,Necklace,"Green Quartzite, Natural Green Stone, Pendant Necklace",,,AGQ-DONUT-009,132,https://example.com/commercial/green-quartzite-donut-pendant.jpg,African Green Quartzite Pendant | Natural Green Stone Necklace,African Green Quartzite Pendant - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, designed for everyday outfits, gifting, and polished minimal styling.",Apparel & Accessories > Jewelry > Necklaces,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Pendant Necklace",African Green Quartzite Pendant by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Natural Stone Pendants, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
african-green-quartzite-tube-bracelet,UPDATE,African Green Quartzite,High,非洲翠桶珠手链,Bracelet,"African Green Quartzite, Green Stone Bracelet, Beaded Bracelet",,,AGQ-TUBE-010,148,https://example.com/commercial/african-green-quartzite-tube-bracelet.jpg,African Green Quartzite Beaded Bracelet | Natural Green Stone Jewelry,African Green Quartzite Beaded Bracelet - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, designed for everyday outfits, gifting, and polished minimal styling.",Bracelet,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Beaded Bracelet",African Green Quartzite Beaded Bracelet by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Green Stone Bracelets, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
